"trial","treeDepth","errorRate"
1,2,0.2443122864
1,3,0.1331243515
1,4,0.0872802734
1,5,0.0856699944
1,6,0.0458836555
1,7,0.0297322273
1,8,0.0254955292
1,9,0.0165319443
1,10,0.0107059479
1,11,0.0087199211
1,12,0.0054855347
1,13,0.0037250519
1,14,0.0027065277
1,15,0.0017719269
1,16,0.0011620522
1,17,0.000690937
1,18,0.0004291534
1,19,0.0002260208
1,20,0.0001111031
2,2,0.2453222275
2,3,0.1344079971
2,4,0.0867114067
2,5,0.0856933594
2,6,0.0466227531
2,7,0.0291771889
2,8,0.0253167152
2,9,0.0162568092
2,10,0.0105514526
2,11,0.0081758499
2,12,0.0059270859
2,13,0.0038056374
2,14,0.0027318001
2,15,0.0018877983
2,16,0.0011315346
2,17,0.0007052422
2,18,0.000439167
2,19,0.0002241135
2,20,0.000105381
3,2,0.2478904724
3,3,0.1333284378
3,4,0.0869679451
3,5,0.0807161331
3,6,0.0456786156
3,7,0.0304961205
3,8,0.0254940987
3,9,0.015809536
3,10,0.0114374161
3,11,0.0085940361
3,12,0.0056648254
3,13,0.003715992
3,14,0.0028233528
3,15,0.0019178391
3,16,0.0011143684
3,17,0.0007429123
3,18,0.0004606247
3,19,0.0002350807
3,20,0.0001010895
4,2,0.248401165
4,3,0.1355266571
4,4,0.0869479179
4,5,0.0785307884
4,6,0.0472173691
4,7,0.0300049782
4,8,0.0251126289
4,9,0.0164532661
4,10,0.0107483864
4,11,0.0086445808
4,12,0.0055828094
4,13,0.0040035248
4,14,0.002802372
4,15,0.001844883
4,16,0.0011229515
4,17,0.000726223
4,18,0.000451088
4,19,0.00025177
4,20,0.0001177788
5,2,0.2495222092
5,3,0.132953167
5,4,0.0878820419
5,5,0.0852203369
5,6,0.0456213951
5,7,0.0303297043
5,8,0.0251531601
5,9,0.0159945488
5,10,0.0109028816
5,11,0.0085954666
5,12,0.0055799484
5,13,0.0037236214
5,14,0.0027794838
5,15,0.0017576218
5,16,0.0011715889
5,17,0.0007505417
5,18,0.0004620552
5,19,0.0002307892
5,20,0.000120163
6,2,0.2452850342
6,3,0.1348028183
6,4,0.0873360634
6,5,0.0788807869
6,6,0.0472574234
6,7,0.0301837921
6,8,0.0254511833
6,9,0.0166010857
6,10,0.0109934807
6,11,0.0089769363
6,12,0.0060129166
6,13,0.0037651062
6,14,0.0026364326
6,15,0.0018877983
6,16,0.0011334419
6,17,0.0007090569
6,18,0.0004367828
6,19,0.0002317429
6,20,9.39369e-05
7,2,0.2399058342
7,3,0.1349301338
7,4,0.0869421959
7,5,0.0779676437
7,6,0.0469942093
7,7,0.0295991898
7,8,0.0253338814
7,9,0.0172424316
7,10,0.010196209
7,11,0.0087242126
7,12,0.0057463646
7,13,0.0037798882
7,14,0.0027084351
7,15,0.0018939972
7,16,0.0011725426
7,17,0.0007362366
7,18,0.0004258156
7,19,0.0002293587
7,20,0.0001058578
8,2,0.2489161491
8,3,0.1344428062
8,4,0.0865950584
8,5,0.0783200264
8,6,0.0465922356
8,7,0.030210495
8,8,0.0236577988
8,9,0.0172977448
8,10,0.010925293
8,11,0.008187294
8,12,0.0059008598
8,13,0.0037851334
8,14,0.0027732849
8,15,0.0018696785
8,16,0.0011396408
8,17,0.0007195473
8,18,0.0004329681
8,19,0.0002303123
8,20,0.0001068115
9,2,0.2459683418
9,3,0.133005619
9,4,0.0873198509
9,5,0.0861077309
9,6,0.0459952354
9,7,0.0298252106
9,8,0.0250487328
9,9,0.0166802406
9,10,0.011074543
9,11,0.0090312958
9,12,0.0059714317
9,13,0.0037035942
9,14,0.0027236938
9,15,0.0018997192
9,16,0.0011806488
9,17,0.0006923676
9,18,0.0004181862
9,19,0.0002574921
9,20,0.0001115799
10,2,0.2489967346
10,3,0.1351733208
10,4,0.0868706703
10,5,0.0725460052
10,6,0.0466609001
10,7,0.0306754112
10,8,0.0240807533
10,9,0.0160536766
10,10,0.0116519928
10,11,0.0087151527
10,12,0.0059480667
10,13,0.003713131
10,14,0.0027470589
10,15,0.0018825531
10,16,0.0012187958
10,17,0.0007772446
10,18,0.0004315376
10,19,0.0002331734
10,20,9.39369e-05
