"rep","sampleSize","noiseRate","treeDepth","errorRate"
1,64,0,2,0.2503118515
1,64,0,3,0.2503118515
1,64,0,4,0.1733541489
1,64,0,5,0.1167526245
1,64,0,6,0.1162242889
1,64,0,7,0.1162242889
1,64,0,8,0.1162242889
1,64,0,9,0.1162242889
1,64,0,10,0.1162242889
1,64,0,11,0.1162242889
1,64,0,12,0.1162242889
1,64,0,13,0.1162242889
1,64,0,14,0.1162242889
1,64,0,15,0.1162242889
1,64,0,16,0.1162242889
1,64,0,17,0.1162242889
1,64,0,18,0.1162242889
1,64,0,19,0.1162242889
1,64,0,20,0.1162242889
1,128,0,2,0.250667572
1,128,0,3,0.182387352
1,128,0,4,0.1275644302
1,128,0,5,0.0837955475
1,128,0,6,0.0778331757
1,128,0,7,0.0701599121
1,128,0,8,0.0701599121
1,128,0,9,0.0701599121
1,128,0,10,0.0701599121
1,128,0,11,0.0701599121
1,128,0,12,0.0701599121
1,128,0,13,0.0701599121
1,128,0,14,0.0701599121
1,128,0,15,0.0701599121
1,128,0,16,0.0701599121
1,128,0,17,0.0701599121
1,128,0,18,0.0701599121
1,128,0,19,0.0701599121
1,128,0,20,0.0701599121
1,256,0,2,0.2108211517
1,256,0,3,0.1338100433
1,256,0,4,0.1131343842
1,256,0,5,0.1032047272
1,256,0,6,0.0599136353
1,256,0,7,0.0481519699
1,256,0,8,0.0553884506
1,256,0,9,0.0553884506
1,256,0,10,0.0553884506
1,256,0,11,0.0553884506
1,256,0,12,0.0553884506
1,256,0,13,0.0553884506
1,256,0,14,0.0553884506
1,256,0,15,0.0553884506
1,256,0,16,0.0553884506
1,256,0,17,0.0553884506
1,256,0,18,0.0553884506
1,256,0,19,0.0553884506
1,256,0,20,0.0553884506
1,512,0,2,0.2521629333
1,512,0,3,0.1384115219
1,512,0,4,0.1053037643
1,512,0,5,0.091668129
1,512,0,6,0.0500774384
1,512,0,7,0.0434036255
1,512,0,8,0.0439968109
1,512,0,9,0.0455684662
1,512,0,10,0.0455684662
1,512,0,11,0.0455684662
1,512,0,12,0.0455684662
1,512,0,13,0.0455684662
1,512,0,14,0.0455684662
1,512,0,15,0.0455684662
1,512,0,16,0.0455684662
1,512,0,17,0.0455684662
1,512,0,18,0.0455684662
1,512,0,19,0.0455684662
1,512,0,20,0.0455684662
1,1024,0,2,0.1959190369
1,1024,0,3,0.1329565048
1,1024,0,4,0.1110858917
1,1024,0,5,0.0695915222
1,1024,0,6,0.0523786545
1,1024,0,7,0.0514917374
1,1024,0,8,0.0342445374
1,1024,0,9,0.0244894028
1,1024,0,10,0.0281152725
1,1024,0,11,0.0281152725
1,1024,0,12,0.0281152725
1,1024,0,13,0.0281152725
1,1024,0,14,0.0281152725
1,1024,0,15,0.0281152725
1,1024,0,16,0.0281152725
1,1024,0,17,0.0281152725
1,1024,0,18,0.0281152725
1,1024,0,19,0.0281152725
1,1024,0,20,0.0281152725
